peraturan,sumber
"Dukungan pemerintah sebagaimana dimaksud pada ayat (1) dan (2), dilakukan berdasarkan prinsip pengendalian dan pengelolaan risiko keuangan Anggaran Pendapatan dan Belanja Negara.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Hak akses untuk Publik terhadap Klasifikasi Keamanan
Arsip Dinamis pada tingkat Terbatas dan Rahahsia
sebagaimana dimaksud dalam Pasal 3 huruf b dan huruf
c bersifat tertutup.",Peraturan Menteri Nomor 1 Tahun 2022
Besaran remunerasi sebagaimana dimaksud pada ayat (88) ditetapkan dengan Keputusan Menteri Keuangan.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Tarif layanan pembiayaan ultra mikro melalui
pembiayaan konvensional sebagaimana dimaksud
dalam Pasal 2 huruf a merupakan tarif pembiayaan
kepada penyalur dan/ atau lembaga linkage dalam
bentuk tingkat suku bunga efektif per tahun.",Peraturan Menteri Nomor 1 Tahun 2021
Investasi dengan cara pembelian saham dapat dilakukan atas saham yang diterbitkan perusahaan.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Keputusan Kepala Daerah sebagaimana dimaksud
pada Ayat
(7) menetapkan tujuan, besaran, dan sumber Dana
Deprisiasi serta jenis penggantian aktiva tetap yang
dibiayai dari Dana Deprisiasi tersebut.",Peraturan Menteri Nomor 29 Tahun 2002
"Pengeluaran pengembalian selisih saldo setoran BPIH dan/atau BPIH Khusus dari penetapan BPIH dan/atau BPIH Khusus tahun berjalan, sebagaimana dimaksud dalam Pasal 19 huruf h, dibayarkan kepada Jemaah Haji melalui rekening yang bersangkutan pada BPS BPIH.",Peraturan Pemerintah Nomor 5 Tahun 2018
"Aset Daerah berupa Aktiva Tetap selain tanah yang
digunakan untuk operasional secara langsung oleh
Pemerintah Daerah dideprisiasi dengan metode garis
lurus berdasarkan umur ekonomisnya.",Peraturan Menteri Nomor 29 Tahun 2002
"Pola penyaluran tidak langsung sebagaimana dimaksud
pada ayat ( 1) huruf b merupakan penyaluran
pembiayaan yang dilakukan oleh penyalur kepada
debitur melalui lembaga linkage.",Peraturan Menteri Nomor 1 Tahun 2021
"Mengambil langkah-langkah yang diperlukan sesuai tugas, fungsi,
dan kewenangan masing-masing untuk melaksanakan komitmen
Cetak Biru Masyarakat Ekonomi Association of Southeast Asian
Nations Tahun 2011 sebagaimana tercantum dalam lampiran yang
tidak terpisahkan dari Instruksi Presiden ini.",Peraturan Presiden Nomor 11 Tahun 2011
"Jumlah penggunaan SAL dalam rangka stabilisasi pasar
SBN sebagaimana dimaksud pada ayat (1) dilaporkan
Pemerintah dalam APBN Perubahan Tahun Anggaran 2015
dan/atau Laporan Keuangan Pemerintah Pusat (LKPP)
Tahun 2015.",Undang-Undang Nomor 27 Tahun 2014
"Perusahaan PMDN dan Non PMA/PMDN yang telah sah berbadan hukum sebagaimana
dimaksud pada Pasal 1 ayat (2) yang sahamnya akan dibeli oleh Badan Hukum asing
dan/atau warga negara asing dan/atau PMA wajib mengajukan permohonan kepada
Menteri Negara Investasi/Kepala Badan Koordinasi Penanaman Modal dengan
menggunakan bentuk formula seperti pada Lampiran II.",Peraturan Menteri Nomor 12 Tahun 1999
"Subbidang Atmosfer Bawah (Udara) mempunyai tugas melakukan penyiapan bahan koordinasi, telaah
staf, pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan pengelolaan atmosfer
bawah.",Peraturan Menteri Nomor 9 Tahun 2001
Menteri menetapkan kebijaksanaan umum mengenai tujuan dan lapangan usaha Perusahaan sebagaimana dimaksud dalam Pasal 5 dan Pasal 6 Peraturan Pemerintah ini.,Peraturan Pemerintah Nomor 18 Tahun 1983
"Direksi terdiri dari sekurang-kurangnya dua orang Direktur.
Salah seorang dari anggota-anggota Direksi dapat diangkat sebagai
Presiden Direktur.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Subbidang Pengkajian Pusat mempunyai tugas melakukan kajian dan evaluasi mengenai Harmonisasi
dan Sinkronisasi hukum Lingkungan yang berkait dengan pusat.",Peraturan Menteri Nomor 9 Tahun 2001
"Dalam hal Investasi Pemerintah dilakukan dengan pola kerjasama pemerintah dan swasta (Public Private Partnership) dalam rangka penyediaan infrastruktur dan bidang lainnya, Badan Investasi Pemerintah dapat memberikan dukungan finansial dan/atau dukungan lainnya.",Peraturan Pemerintah Nomor 1 Tahun 2008
"Pada saat Peraturan Presiden ini mulai berlaku, seluruh
jabatan yang ada beserta pejabat yang memangku
jabatan di Kementerian Pendidikan dan Kebudayaan
dan Badan Koordinasi Penanaman Modal tetap
melaksanakan tugas dan fungsinya sampai dengan
diatur kembali dengan Peraturan Presiden mengenai
organisasi dan tata kerja Kementerian Pendidikan,
Kebudayaan, Riset, dan Teknologi dan Kementerian
Investasi lBadan Koordinasi Penanaman Modal.",Peraturan Presiden Nomor 31 Tahun 2021
"Perintah tertulis sebagaimana dimaksud pada ayat (1) harus
menyebutkan nama pejabat pajak, nama nasabah wajib
pajak, dan kasus yang dikehendaki keterangannya.",Undang-Undang Nomor 21 Tahun 2008
Nilai manfaat Keuangan Haji ditempatkan di rekening nilai manfaat atas nama BPKH pada BPS BPIH yang ditunjuk oleh BPKH.,Peraturan Pemerintah Nomor 5 Tahun 2018
Semua aset untuk dan atas nama Badan Pertimbangan Tabungan Perumahan Pegawai Negeri Sipil dilikuidasi setelah dilakukan audit sesuai mekanisme sebagaimana dimaksud dalam Pasal 74 Undang-Undang Nomor 4 Tahun 2016 tentang Tabungan Perumahan Rakyat.,Peraturan Pemerintah Nomor 8 Tahun 2007
PSBDT adalah Piutang Negara Sementara Belum Dapat Ditagih.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Selisih antara Anggaran Pendapatan Daerah dan
Anggaran Belanja Daerah dapat mengakibatkan
terjadinya surplus atau defisit anggaran.",Peraturan Menteri Nomor 29 Tahun 2002
"Pekerja Mandiri yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 5 ayat (3), Pasal 21 ayat (1), Pasal 21 ayat (3), dan Pasal 50 ayat (1) dikenai sanksi administratif berupa peringatan tertulis.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Dua orang anggota Direksi tidak boleh bersama-sama menjadi
Komisaris pada satu perusahaan.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Bank Umum Syariah hanya dapat didirikan dan/atau
dimiliki oleh:
a. warga negara Indonesia dan/atau badan hukum
Indonesia;
b. warga negara Indonesia dan/atau badan hukum
Indonesia dengan warga negara asing dan/atau badan
hukum asing secara kemitraan; atau
c. pemerintah daerah.",Undang-Undang Nomor 21 Tahun 2008
Besaran Simpanan Peserta sebagaimana dimaksud pada ayat (1) dan ayat (2) dapat dilakukan evaluasi.,Peraturan Pemerintah Nomor 25 Tahun 2020
Ketentuan lebih lanjut mengenai bentuk dan isi laporan pengelolaan program sebagaimana dimaksud pada ayat (3) dan ayat (7) diatur dengan Peraturan BP Tapera setelah disetujui Komite Tapera.,Peraturan Pemerintah Nomor 8 Tahun 2007
Investasi Keuangan Haji dalam bentuk surat berharga sebagaimana dimaksud dalam Pasal 26 ayat (1) meliputi: a. surat berharga syariah negara yang diterbitkan oleh pemerintah pusat; b. surat berharga syariah yang diterbitkan oleh Bank Indonesia; dan c. efek syariah yang diatur dan diawasi oleh Otoritas Jasa Keuangan.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Pemerintah Daerah adalah Gubernur, Bupati, atau Walikota, dan perangkat daerah sebagai unsur penyelenggara pemerintahan daerah.",Peraturan Pemerintah Nomor 14 Tahun 2005
"Biaya Penyelenggaraan Ibadah Haji, yang selanjutnya disingkat BPIH adalah sejumlah dana yang harus dibayar oleh warga negara yang akan menunaikan ibadah haji.",Peraturan Pemerintah Nomor 5 Tahun 2018
"Besaran Simpanan Peserta sebagaimana dimaksud pada ayat (1) untuk Peserta Pekerja ditanggung bersama oleh Pemberi Kerja sebesar 0,5% (nol koma lima persen) dan Pekerja sebesar 2,5% (dua koma lima persen).",Peraturan Pemerintah Nomor 25 Tahun 2020
"Dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 161 ayat (1), Staf Ahli Bidang Peran
Masyarakat menyelenggarakan fungsi penelaahan aspek peran masyarakat dalam rangka perumusan
kebijakan di bidang lingkungan hidup.",Peraturan Menteri Nomor 9 Tahun 2001
"Bidang Perancangan Hukum Lingkungan 1 mempunyai tugas dalam menyelenggarakan perancangan dan
perumusan kebijakan hukum Lingkungan yang berkaitan dengan peraturan perundangan internal dan eksternal.",Peraturan Menteri Nomor 9 Tahun 2001
"Dalam hal terjadi penurunan harga/nilai surat berharga secara signifikan, badan investasi pemerintah dapat menghentikan investasi dengan menjual surat berharga sebagaimana dimaksud pada ayat (1) dan (2) kurang dari 12 (dua belas) bulan.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Pemerintah dapat melakukan transaksi Lindung Nilai
dalam rangka pengendalian risiko pembayaran bunga
utang dan pengeluaran cicilan pokok utang.",Undang-Undang Nomor 27 Tahun 2014
"Subbidang Pranata Adat mempunyai tugas melakukan penyusunan bahan koordinasi telaahan staf,
pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan di bidang pranata adat:",Peraturan Menteri Nomor 9 Tahun 2001
"Pendapatan bagian laba BUMN sebagaimana dimaksud
pada ayat (1) huruf b direncanakan sebesar
Rp44.000.000.000.000,00 (empat puluh empat triliun
rupiah).",Undang-Undang Nomor 27 Tahun 2014
"Penyelenggaraan Ibadah Haji adalah rangkaian kegiatan pengelolaan pelaksanaan Ibadah Haji yang meliputi pelaksanaan pembinaan, pelayanan, dan perlindungan Jemaah Haji yang diselenggarakan oleh Pemerintah.",Peraturan Pemerintah Nomor 5 Tahun 2018
"Dalam pelaksanaan tugasnya, Komite Pengarah dibantu oleh
Kelompok Kerja yang diketuai oleh Menteri Perdagangan dan
Kepala Badan Koordinasi Penanaman Modal selaku Pelaksana
Harian.",Peraturan Presiden Nomor 12 Tahun 2006
"Dalam hal terjadi krisis pasar SBN domestik, Pemerintah
dengan persetujuan Dewan Perwakilan Rakyat diberikan
kewenangan menggunakan SAL untuk melakukan
stabilisasi pasar SBN domestik setelah memperhitungkan
kebutuhan anggaran sampai dengan akhir tahun anggaran
berjalan dan awal tahun anggaran berikutnya.",Undang-Undang Nomor 27 Tahun 2014
"Naskah Kesepakatan Kerja Sama paling sedikit memuat:
tujuan Kerja Sama;
ruang lingkup Kerja Sama;
perencanaan, pengaturan pelaksanaan dan evaluasi
pelaksanaan;
perubahan;
penyelesaian perselisihan; dan
masa berlaku dan berakhirnya kesepakatan.",Peraturan Menteri Nomor 2 Tahun 2021
Besaran pengeluaran Penyelenggaraan Ibadah Haji sebagaimana dimaksud pada ayat (1) ditetapkan oleh pemerintah pusat setelah mendapat persetujuan Dewan Perwakilan Rakyat.,Peraturan Pemerintah Nomor 5 Tahun 2018
Peserta sebagaimana dimaksud pada ayat (1) berakhir kepesertaannya apabila: a. meninggal dunia; atau b. mengundurkan diri dan mengklaim pengembalian Simpanan.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Subbidang Sumber Pendanaan Lingkungan mempunyai tugas melakukan penyiapan bahan koordinasi,
telaahan staf, pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan di bidang sumber
pendanaan Lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
Pertanggungjawaban likuidasi oleh likuidatur dilakukan kepada Menteri yang memberi pembebasan tanggung jawab tentang pekerjaan yang telah diselesaikan olehnya.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Perpanjangan dapat dilaksanakan jika:
disepakati oleh Kementerian Koordinator dan Mitra
Kerja Sama; dan
telah melalui tahap pembahasan, pengesahan, dan
penandatanganan berdasarkan hasil evaluasi
pelaksanaan Kerja Sama terdahulu.",Peraturan Menteri Nomor 2 Tahun 2021
"Ketentuan lebih lanjut mengenai tata cara pengembalian saldo BPIH dan/atau BPIH Khusus serta pengembalian selisih saldo, sebagaimana dimaksud pada ayat (1) dan ayat (2), diatur dengan Peraturan BPKH.",Peraturan Pemerintah Nomor 5 Tahun 2018
Modal adalah aset dalam bentuk uang atau bentuk lain yang bukan uang yang dimiliki oleh Investor yang mempunyai nilai ekonomis.,Peraturan Pemerintah Nomor 24 Tahun 2019
Pemberian Insentif dan/atau Pemberian Kemudahan dapat ditinjau kembali apabila berdasarkan evaluasi tidak lagi memenuhi kriteria sebagaimana dimaksud dalam Pasal 4 atau bertentangan dengan ketentuan peraturan perundang-undangan.,Peraturan Pemerintah Nomor 24 Tahun 2019
"Staf Menteri Negara Lingkungan Hidup, selanjutnya dalam Keputusan ini disebut staf Meneg LH, adalah unsur
pembantu atau unsur pelaksana Meneg LH yang berada di bawah dan bertanggung jawab kepada Meneg LH.",Peraturan Menteri Nomor 9 Tahun 2001
"Bagian Perencanaan mempunya tugas melaksanakan penyiapan koordinasi perencanaan dan evaluasi
pelaksanaan program pengelolaan lingkungan hidup.",Peraturan Menteri Nomor 9 Tahun 2001
"Surat-paksa tersebut pada ayat (1) dikeluarkan oleh Menteri
yang bersangkutan.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 7 Tahun 1962
"Panitia mempunyai sebuah Sekretariat yang terdiri atas seorang
Sekretaris dibantu oleh beberapa orang tenaga ahli dan beberapa orang
tenaga pembantu, yang semuanya termasuk staf pegawai BAPPENAS.",Peraturan Presiden Nomor 10 Tahun 1964
"Dengan Peraturan Pemerintah dapat diadakan pengecualian dari
sumbangan wajib seperti termaksud pada ayat-ayat (1) dan (2) di
atas.",Undang-Undang Nomor 34 Tahun 1964
Laporan keuangan Badan Investasi Pemerintah yang belum diaudit disampaikan kepada Menteri Keuangan setiap tahun anggaran paling lambat 2 (dua) bulan setelah tahun anggaran berakhir.,Peraturan Pemerintah Nomor 1 Tahun 2008
Manajer Investasi melakukan pemupukan Dana Tapera yang dialokasikan sebagaimana dimaksud dalam Pasal 18 ayat (3).,Peraturan Pemerintah Nomor 25 Tahun 2020
"Naskah Kesepakatan Kerja Sama mencakup materi
kesepakatan yang bersifat pokok atau prinsip dan/atau
implementatif.",Peraturan Menteri Nomor 2 Tahun 2021
Investasi lainnya sebagaimana dimaksud pada ayat (1) paling banyak 10% (sepuluh persen) dari total penempatan dan/atau investasi Keuangan Haji.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Segala biaya yang diperlukan bagi pelaksanaan tugas Satgas
Investasi, Sekretariat Satgas Investasi, dan Tim Pelaksana
dibebankan pada Anggaran Pendapatan dan Belanja Negara
melalui Anggaran Belanja Kementerian Investasi/Badan
Koordinasi Penanaman Modal.",Peraturan Presiden Nomor 11 Tahun 2021
"Menteri Keuangan diberikan wewenang untuk
menyelesaikan piutang instansi Pemerintah yang
diurus/dikelola oleh Panitia Urusan Piutang
Negara/Direktorat Jenderal Kekayaan Negara, khususnya
piutang terhadap usaha mikro, kecil, dan menengah
(UMKM), dan piutang berupa Kredit Pemilikan Rumah
Sederhana/Rumah Sangat Sederhana (KPR RS/RSS),
meliputi dan tidak terbatas pada restrukturisasi dan
pemberian keringanan utang pokok sampai dengan 100%
(seratus persen).",Undang-Undang Nomor 27 Tahun 2014
"Piutang Negara yang bersumber dari penerusan Pinjaman Luar Negeri/Rekening Dana Investasi/Rekening Pembangunan Daerah, dapat dilakukan penghapusan secara bersyarat atau mutlak sebagaimana dimaksud dalam Pasal 2.",Peraturan Pemerintah Nomor 14 Tahun 2005
"Satgas Investasi sebagaimana dimaksud dalam Pasal 1 terdiri
atas:
a. Ketua : Menteri Investasi/Kepala Badan
Koordinasi Penanaman Modal;
b. Wakil Ketua I : Wakil Jaksa Agung;
c. Wakil Ketua II : Wakil Kepala Kepolisian Negara
Republik Indonesia;
d. Sekretaris : Sdri. Dini Purwono.",Peraturan Presiden Nomor 11 Tahun 2021
"PNBP lainnya sebagaimana dimaksud pada ayat (1) huruf c
direncanakan sebesar Rp89.823.662.775.000,00 (delapan
puluh sembilan triliun delapan ratus dua puluh tiga miliar
enam ratus enam puluh dua juta tujuh ratus tujuh puluh
lima ribu rupiah).",Undang-Undang Nomor 27 Tahun 2014
"Modal dasar tersebut pada ayat (1) pasal ini dapat diperbesar
dengan ketentuan Undang-undang.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
Pelaksanaan investasi pemerintah melalui pembelian saham dapat dilaksanakan atas saham yang diterbitkan perusahaan.,Peraturan Pemerintah Nomor 8 Tahun 2007
Pengelolaan Tapera sebagaimana dimaksud pada ayat (1) dilakukan dengan memperhatikan kebijakan di bidang perumahan dan kawasan permukiman.,Peraturan Pemerintah Nomor 25 Tahun 2020
Setoran awal BPIH dan/atau BPIH Khusus dibayarkan melalui rekening tabungan Jemaah Haji di BPS BPIH ke rekening setoran awal atas nama BPKH selaku wakil yang sah dari Jemaah Haji sebagai salah satu syarat untuk memperoleh nomor porsi Jemaah Haji pada saat mendaftar sebagai Jemaah Haji.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Calon dewan komisaris dan calon direksi wajib lulus uji
kemampuan dan kepatutan yang dilakukan oleh Bank
Indonesia.",Undang-Undang Nomor 21 Tahun 2008
"Tarif layanan pembiayaan ultra mikro melalui
pembiayaan syariah sebagaimana dimaksud dalam
Pasal 2 huruf b merupakan tarif pembiayaan kepada
penyalur dan/ atau lembaga linkage dalam bentuk
imbal hasil sesuai dengan prinsip syariah.",Peraturan Menteri Nomor 1 Tahun 2021
Persentase imbal jasa Bank Kustodian dituangkan dalam kontrak penunjukan Bank Kustodian.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Atas usul Direksi, Menteri menetapkan tarip bagi jasa pengerukan sesuai dengan ketentuan-ketentuan yang berlaku.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Daftar klasifikasi keamanan dan hak akses arsip dinamis
sebagaimana dimaksud dalam Pasal 3 sampai dengan Pasal 8
sebagaimana tercantum dalam Lampiran I, II dan III yang
merupakan bagian tidak terpisahkan dari Peraturan Menteri
Koordinator ini.",Peraturan Menteri Nomor 1 Tahun 2022
"Optimalisasi tingkat penyelesaian Piutang Negara sebagaimana dimaksud pada ayat (16), dilakukan dengan cara restrukturisasi utang, antara lain: a. penjadwalan kembali pembayaran utang pokok, bunga, denda, dan/atau ongkos-ongkos lainnya; b. perubahan persyaratan utang; dan/atau c. penghapusan.",Peraturan Pemerintah Nomor 14 Tahun 2005
Modal awal sebagaimana dimaksud pada ayat (1) bersumber dari Anggaran Pendapatan dan Belanja Negara dan merupakan kekayaan negara yang dipisahkan.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Laporan pengelolaan program dan laporan keuangan tahunan sebagaimana dimaksud pada ayat (1) dipublikasikan dalam bentuk ringkasan eksekutif melalui media massa elektronik dan melalui paling sedikit 2 (dua) media massa cetak yang memiliki peredaran luas secara nasional, paling lambat tanggal 31 Juli tahun berikutnya.",Peraturan Pemerintah Nomor 25 Tahun 2020
Bentuk badan hukum Bank Syariah adalah perseroan terbatas.,Undang-Undang Nomor 21 Tahun 2008
"Hal-hal yang belum cukup diatur dalam Peraturan Pemerintah ini, diatur lebih lanjut oleh Menteri.",Peraturan Pemerintah Nomor 18 Tahun 1983
"Pada saat Peraturan Menteri ini mulai berlaku, Peraturan
Menteri Keuangan Nomor 96/PMK.05/2018 tentang Tarif
Layanan Badan layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan (Berita Negara Republik
Indonesia Tahun 2018 Nomor 1099), dicabut dan dinyatakan
tidak berlaku.",Peraturan Menteri Nomor 1 Tahun 2021
"Jika Menteri tidak mengemukakan keberatan secara tertulis atau menolak anggaran Perusahaan sebelum memasuki tahun buku baru, maka anggaran tersebut berlaku sepenuhnya.",Peraturan Pemerintah Nomor 8 Tahun 2007
Laporan keuangan dan kinerja badan sebagaimana dimaksud pada ayat (68) disusun dan disajikan sebagai bagian yang tidak dipisahkan dari laporan keuangan dan kinerja Kementerian Keuangan.,Peraturan Pemerintah Nomor 8 Tahun 2007
Divestasi adalah penjualan surat berharga dan/atau kepemilikan pemerintah baik sebagian atau keseluruhan kepada pihak lain.,Peraturan Pemerintah Nomor 1 Tahun 2008
Menteri teknis/pimpinan lembaga bertanggung jawab kepada Presiden atas pelaksanaan kebijakan investasi langsung dalam penyediaan infrastruktur dan non infrastruktur yang berada dalam penguasaannya.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Dalam hal Penanggung Utang atas Piutang Negara yang bersumber dari penerusan Pinjaman Luar Negeri/Rekening Dana Investasi/Rekening Pembangunan Daerah selain Penanggung Utang sebagaimana dimaksud dalam Pasal 16 ayat (2), tata cara optimalisasi penyelesaian Piutang Negara dimaksud diatur lebih lanjut dengan Peraturan Menteri Keuangan.",Peraturan Pemerintah Nomor 14 Tahun 2005
"Pengeluaran Daerah adalah semua pengeluaran Kas
Daerah dalam periode Tahun Anggaran tertentu.",Peraturan Menteri Nomor 29 Tahun 2002
Menteri Keuangan melakukan pengawasan dalam rangka pelaksanaan kewenangan supervisi sebagaimana dimaksud dalam Pasal 11 ayat (3).,Peraturan Pemerintah Nomor 1 Tahun 2008
"Bidang Atmosfer mempunyai tugas melaksanakan koordinasi, penyusunan telaah staf, pengkajian dan evaluasi
serta penyusunan rancangan rumusan kebijakan perlindungan atmosfer.",Peraturan Menteri Nomor 9 Tahun 2001
Pekerja sebagaimana dimaksud dalam Pasal 5 ayat (2) huruf a wajib didaftarkan sebagai Peserta oleh Pemberi Kerja kepada BP Tapera.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Dewan Pengawas Syariah sebagaimana dimaksud pada ayat
(1) diangkat oleh Rapat Umum Pemegang Saham atas
rekomendasi Majelis Ulama Indonesia.",Undang-Undang Nomor 21 Tahun 2008
Gubernur/bupati/walikota menunjuk satuan kerja perangkat daerah yang sesuai dengan bidang tugasnya untuk melaksanakan kewenangan operasional dalam pengelolaan Investasi Pemerintah Daerah.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Pinjaman Daerah adalah semua transaksi yang
mengakibatkan Daerah menerima dari pihak lain
sejumlah uang atau manfaat bernilai uang sehingga
Daerah tersebut dibebani kewajiban untuk membayar
kembali, tidak termasuk kredit jangka pendek yang
lazim terjadi dalam perdagangan.",Peraturan Menteri Nomor 29 Tahun 2002
"Surat-paksa termaksud pada pasal 7 ayat (2) berkepala kata-
kata ""Atas nama keadilan"" serta memuat nama perusahaan/badan
yang bersangkutan, alasan-alasan yang menjadi dasar
penagihan dan perintah untuk membayar.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 7 Tahun 1962
"Subbagian Dokumentasi dan Perpustakaan mempunyai tugas melakukan dokumentasi dan pengendalian
dokumen yang diperlukan untuk sistem manajemen serta pengelolaan perpustakaan.",Peraturan Menteri Nomor 9 Tahun 2001
"Rincian tugas, fungsi, susunan organisasi, dan tata kerja satuan organisasi
di lingkungan Menteri Muda Urusan Restrukturisasi Ekonomi Nasional
ditetapkan oleh Menteri Negara Koordinator Bidang Perekonomian
setelah terlebih dahulu mendapat persetujuan tertulis dari Menteri yang
bertanggung jawab di bidang pendayagunaan aparatur negara.",Peraturan Presiden Nomor 176 Tahun 2000
"Dalam keadaan darurat, Pemerintah dapat melakukan
penarikan pinjaman siaga yang berasal dari kreditur
bilateral dan multilateral sebagai alternatif sumber
pembiayaan dalam hal kondisi pasar tidak mendukung
penerbitan SBN.",Undang-Undang Nomor 27 Tahun 2014
"Ketentuan lebih lanjut mengenai tata cara pembatalan porsi, sebagaimana dimaksud pada ayat (2), ayat (3), dan ayat (4), diatur dengan Peraturan Menteri.",Peraturan Pemerintah Nomor 5 Tahun 2018
Peserta diberikan nomor identitas kepesertaan yang ditetapkan dan dikelola oleh BP Tapera.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Setiap pimpinan satuan organisasi wajib mengikuti dan mematuhi petunjuk dan bertanggung jawab kepada
atasan masing-masing dan menyampaikan laporan berkala tepat pada waktunya.",Peraturan Menteri Nomor 9 Tahun 2001
"Warga negara Indonesia, warga negara asing, badan hukum
Indonesia, atau badan hukum asing dapat memiliki atau
membeli saham Bank Umum Syariah secara langsung atau
melalui bursa efek.",Undang-Undang Nomor 21 Tahun 2008
"Dalam hal harga pembelian Agunan sebagaimana dimaksud
pada ayat (1) melebihi jumlah kewajiban Nasabah kepada
Bank Syariah dan UUS, selisih kelebihan jumlah tersebut
harus dikembalikan kepada Nasabah setelah dikurangi
dengan biaya lelang dan biaya lain yang langsung terkait
dengan proses pembelian Agunan.",Undang-Undang Nomor 21 Tahun 2008
"Selain berkewajiban sebagaimana dimaksud pada ayat (1), Pemberi Kerja wajib melanjutkan kepesertaan dari Pekerja yang baru diterima yang sebelumnya telah menjadi Peserta dengan melaporkan nomor identitas kepesertaan dan membayar Simpanan Tapera terhitung sejak terjadinya hubungan kerja.",Peraturan Pemerintah Nomor 8 Tahun 2007
Pemerintah Daerah dapat memprioritaskan pemberian Insentif dan/atau Pemberian Kemudahan untuk jenis usaha tertentu atau kegiatan tertentu.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Belanja Daerah adalah semua pengeluaran Kas
Daerah dalam periode Tahun Anggaran tertentu yang
menjadi beban Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Untuk memperoleh keyakinan sebagaimana dimaksud pada
ayat (1), Bank Syariah dan/atau UUS wajib melakukan
penilaian yang saksama terhadap watak, kemampuan,
modal, Agunan, dan prospek usaha dari calon Nasabah
Penerima Fasilitas.",Undang-Undang Nomor 21 Tahun 2008
"Ketentuan lebih lanjut mengenai tugas untuk memastikan
kepatuhan Bank Syariah terhadap pelaksanaan ketentuan
Bank Indonesia dan peraturan perundang-undangan lainnya
sebagaimana dimaksud pada ayat (1) diatur dengan
Peraturan Bank Indonesia.",Undang-Undang Nomor 21 Tahun 2008
Investasi Langsung pada bidang lainnya ditetapkan oleh Menteri Keuangan.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Ketentuan lebih lanjut mengenai penggunaan program
Kementerian Negara/Lembaga sebagai dasar penerbitan
SBSN sebagaimana dimaksud pada ayat (1) diatur dengan
Peraturan Menteri Keuangan.",Undang-Undang Nomor 27 Tahun 2014
Ketentuan lebih lanjut mengenai manajemen risiko sebagaimana dimaksud pada ayat (70) diatur dengan Peraturan Menteri Keuangan.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Dukungan pemerintah sebagaimana dimaksud pada ayat (1), dilakukan dengan mempertimbangkan: a. dampak penundaan/penghentian implementasi proyek; b. terjadinya peningkatan biaya proyek; dan c. pemulihan/pengembalian investasi.",Peraturan Pemerintah Nomor 8 Tahun 2007
Dana Fasilitas Likuiditas Pembiayaan Perumahan sebagaimana dimaksud pada ayat (1) termasuk dana Fasilitas Likuiditas Pembiayaan Perumahan yang dikelola badan layanan umum yang melaksanakan fungsi pembiayaan perumahan dan piutang Fasilitas Likuiditas Pembiayaan Perumahan yang telah diterima oleh masyarakat.,Peraturan Pemerintah Nomor 25 Tahun 2020
"UUS dilarang:
a. melakukan kegiatan usaha yang bertentangan dengan
Prinsip Syariah;
b. melakukan kegiatan jual beli saham secara langsung di
pasar modal;
c. melakukan penyertaan modal, kecuali sebagaimana
dimaksud dalam Pasal 20 ayat (2) huruf c; dan
d. melakukan kegiatan usaha perasuransian, kecuali
sebagai agen pemasaran produk asuransi syariah.",Undang-Undang Nomor 21 Tahun 2008
"Sekretariat Satgas Investasi dipimpin oleh Kepala
Sekretariat yang berada pada unit kerja di Sekretariat
Kementerian Investasi Badan Koordinasi Penanaman
Modal.",Peraturan Presiden Nomor 11 Tahun 2021
